,0
607,3
608,1
609,2
610,0
611,0
612,2
613,1
614,0
615,4
616,1
617,1
618,1
619,0
620,2
621,0
622,2
623,0
624,0
625,1
626,1
627,1
628,0
629,1
630,1
631,1
632,4
633,0
634,0
635,1
636,2
637,0
638,1
639,0
640,3
641,3
642,1
643,0
644,2
645,4
646,0
647,0
648,1
649,0
650,0
651,1
652,0
653,0
654,0
655,0
656,1
657,0
658,0
659,0
660,4
661,0
662,1
663,2
664,3
665,0
666,2
667,0
668,2
669,1
670,1
671,0
672,1
673,2
674,0
675,0
676,0
677,0
678,3
679,3
680,0
681,0
682,0
683,0
684,1
685,3
686,2
687,1
688,0
689,2
690,2
691,1
692,0
693,0
694,0
695,1
696,5
697,2
698,6
699,4
700,1
701,0
702,1
703,2
704,0
705,0
706,1
707,1
708,1
709,0
710,0
711,1
712,1
713,0
714,1
715,0
716,3
717,1
718,1
719,3
720,0
721,1
722,2
723,2
724,1
725,3
726,0
727,1
728,0
729,1
730,2
731,1
732,0
733,1
734,1
735,5
736,1
737,1
738,2
739,1
740,1
741,0
742,0
743,0
744,0
745,1
746,0
747,2
748,0
749,3
750,0
751,1
752,0
753,0
754,2
755,0
756,0
757,0
758,1
759,2
760,0
761,0
762,0
763,0
764,0
765,0
766,1
767,0
768,0
769,3
770,0
771,1
772,0
773,0
774,0
775,1
776,1
777,0
778,0
779,1
780,1
781,2
782,1
783,1
784,1
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,1
797,1
798,1
799,1
800,0
801,0
802,2
803,0
804,2
805,1
806,0
807,0
808,1
809,0
810,0
811,0
812,0
813,1
814,0
815,0
816,2
817,2
818,1
819,0
820,0
821,0
822,2
823,0
824,0
825,0
826,0
827,1
828,0
829,0
830,1
831,0
832,2
833,0
834,1
835,0
836,1
837,1
838,1
839,0
840,3
841,0
842,0
843,0
844,1
845,1
846,0
847,3
848,0
849,0
850,2
851,1
852,0
853,1
854,1
855,2
856,1
857,0
858,1
859,2
860,2
861,0
862,2
863,1
864,1
865,1
866,1
867,1
868,0
869,1
870,0
871,0
872,0
873,1
874,1
875,2
876,1
877,3
878,3
879,0
880,2
881,0
882,0
883,0
884,0
885,2
886,0
887,1
888,1
889,0
890,0
891,2
892,2
893,0
894,0
895,0
896,0
897,0
898,1
899,0
900,2
901,1
902,0
903,1
904,0
905,0
906,2
907,5
908,1
909,0
910,0
911,1
912,1
913,0
914,1
915,0
916,1
917,2
918,2
919,1
920,3
921,0
922,0
923,1
924,2
925,1
926,0
927,1
928,1
929,0
930,0
931,0
932,1
933,2
934,0
935,0
936,0
937,1
938,0
939,0
940,1
941,2
942,2
943,0
944,0
945,0
946,3
947,0
948,1
949,1
950,0
951,4
952,0
953,0
954,1
955,0
956,0
957,0
958,1
959,0
960,0
961,2
962,0
963,0
964,1
965,0
966,0
967,0
968,0
969,0
970,1
971,2
972,0
973,2
974,0
975,0
976,0
977,1
978,0
979,0
980,0
981,0
982,0
983,1
984,0
985,0
986,2
987,0
988,1
989,0
990,0
991,0
992,0
993,0
994,0
995,1
996,0
997,0
998,0
999,0
1000,1
1001,0
1002,0
1003,1
1004,0
1005,1
1006,0
1007,0
1008,3
1009,0
1010,0
1011,1
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,1
1019,0
1020,0
1021,2
1022,0
1023,1
1024,1
1025,0
1026,0
1027,1
1028,1
1029,4
1030,1
1031,4
1032,0
1033,1
1034,2
1035,2
1036,0
1037,0
1038,0
1039,1
1040,0
1041,0
1042,1
1043,0
1044,0
1045,3
1046,0
1047,0
1048,0
1049,1
1050,0
1051,0
1052,1
1053,5
1054,0
1055,0
1056,0
1057,0
1058,0
1059,1
1060,2
1061,0
1062,1
1063,0
1064,0
1065,2
1066,0
1067,0
1068,4
1069,0
1070,1
1071,0
1072,0
1073,1
1074,0
1075,0
1076,0
1077,1
1078,0
1079,0
1080,0
1081,0
1082,2
1083,0
1084,0
1085,0
1086,2
1087,0
1088,0
1089,3
1090,1
1091,0
1092,1
1093,2
1094,1
1095,0
1096,0
1097,2
1098,0
1099,0
1100,0
1101,3
1102,0
1103,0
1104,1
1105,2
1106,0
1107,0
1108,1
1109,4
1110,0
1111,2
1112,2
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,1
1120,0
1121,2
1122,0
1123,0
1124,0
1125,1
1126,0
1127,0
1128,1
1129,0
1130,0
1131,0
1132,0
1133,0
1134,1
1135,0
1136,2
1137,0
1138,0
1139,1
1140,3
1141,1
1142,2
1143,2
1144,0
1145,1
1146,1
1147,2
1148,0
1149,4
1150,1
1151,1
1152,1
1153,3
1154,0
1155,1
1156,2
1157,0
1158,0
1159,2
1160,1
1161,0
1162,0
1163,0
1164,1
1165,2
1166,0
1167,0
1168,1
1169,0
1170,2
1171,0
1172,0
1173,1
1174,0
1175,1
1176,0
1177,0
1178,1
1179,0
1180,1
1181,0
1182,1
1183,2
1184,0
1185,2
1186,3
1187,0
1188,2
1189,0
1190,2
1191,2
1192,0
1193,0
1194,0
1195,1
1196,0
1197,1
1198,1
1199,1
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,1
1208,1
1209,0
1210,1
1211,0
1212,0
1213,1
1214,0
1215,2
1216,1
1217,0
1218,0
1219,2
1220,2
1221,0
1222,0
1223,1
1224,1
1225,0
1226,0
1227,1
1228,0
1229,0
1230,1
1231,0
1232,0
1233,0
1234,0
1235,0
1236,1
1237,0
1238,0
1239,1
1240,0
1241,1
1242,0
1243,0
1244,1
1245,1
1246,0
1247,1
1248,0
1249,1
1250,1
1251,0
1252,1
1253,0
1254,1
1255,1
1256,1
1257,2
1258,1
1259,0
1260,4
1261,2
1262,1
1263,0
1264,0
1265,1
1266,1
1267,0
1268,0
1269,2
1270,2
1271,0
1272,0
1273,2
1274,0
1275,0
1276,2
1277,0
1278,0
1279,0
1280,1
1281,0
1282,0
1283,0
1284,0
1285,1
1286,0
1287,0
1288,0
1289,0
1290,1
1291,1
1292,1
1293,0
1294,0
1295,1
1296,0
1297,0
1298,2
1299,0
1300,0
1301,1
1302,2
1303,0
1304,0
1305,2
1306,0
1307,0
1308,0
1309,4
1310,0
1311,0
1312,1
1313,2
1314,0
1315,0
1316,0
1317,1
1318,0
1319,1
1320,0
1321,0
1322,2
1323,0
1324,0
1325,0
1326,0
1327,1
1328,2
1329,1
1330,1
1331,1
1332,0
1333,0
1334,0
1335,0
1336,1
1337,0
1338,1
1339,0
1340,3
1341,1
1342,0
1343,0
1344,0
1345,0
1346,1
1347,2
1348,0
1349,0
1350,1
1351,0
1352,0
1353,0
1354,2
1355,2
1356,0
1357,3
1358,1
1359,0
1360,3
1361,0
1362,3
1363,0
1364,0
1365,2
1366,2
1367,0
1368,0
1369,2
1370,0
1371,4
1372,0
1373,3
1374,0
1375,2
1376,0
1377,1
1378,0
1379,0
1380,1
1381,2
1382,1
1383,0
1384,0
1385,0
1386,1
1387,1
1388,0
1389,1
1390,1
1391,0
1392,1
1393,2
1394,0
1395,1
1396,1
1397,1
1398,1
1399,1
1400,1
1401,0
1402,2
1403,0
1404,2
1405,3
1406,0
1407,0
1408,1
1409,0
1410,0
1411,3
1412,1
1413,5
1414,1
1415,0
1416,2
1417,2
1418,1
1419,1
1420,1
1421,0
1422,1
1423,4
1424,1
1425,0
1426,3
1427,1
1428,2
1429,0
1430,2
1431,2
1432,2
1433,1
1434,2
1435,0
1436,1
1437,2
1438,3
1439,3
1440,1
1441,3
1442,2
1443,0
1444,1
1445,2
1446,1
1447,0
1448,0
1449,0
1450,2
1451,2
1452,3
1453,1
1454,2
1455,1
1456,0
1457,0
1458,0
1459,1
1460,1
1461,3
1462,1
1463,0
1464,1
1465,0
1466,2
1467,2
1468,1
1469,0
1470,3
1471,4
1472,0
1473,1
1474,2
1475,1
1476,0
1477,0
1478,2
1479,1
1480,0
1481,2
1482,0
1483,1
1484,0
1485,4
1486,1
1487,1
1488,1
1489,0
1490,0
1491,1
1492,1
1493,4
1494,0
1495,0
1496,3
1497,3
1498,1
1499,1
1500,0
1501,0
1502,0
1503,2
1504,1
1505,3
1506,1
1507,0
1508,1
1509,2
1510,1
1511,2
1512,1
1513,0
1514,2
1515,2
1516,0
1517,1
1518,5
1519,0
1520,3
1521,4
1522,1
1523,0
1524,2
1525,1
1526,2
1527,3
1528,0
1529,3
1530,0
1531,0
1532,0
1533,3
1534,0
1535,2
1536,1
1537,4
1538,2
1539,1
1540,0
1541,1
1542,0
1543,1
1544,3
1545,2
1546,3
1547,2
1548,2
1549,3
1550,1
1551,0
1552,2
1553,2
1554,1
1555,0
1556,2
1557,0
1558,0
1559,0
1560,1
1561,2
1562,0
1563,1
1564,1
1565,2
1566,1
1567,0
1568,1
1569,2
1570,0
1571,2
1572,0
1573,2
1574,0
1575,4
1576,1
1577,6
1578,3
1579,1
1580,1
1581,1
1582,0
1583,1
1584,1
1585,0
1586,1
1587,1
1588,0
1589,0
1590,2
1591,1
1592,1
1593,1
1594,1
1595,0
1596,1
1597,1
1598,2
1599,0
1600,1
1601,1
1602,0
1603,2
1604,1
1605,0
1606,1
1607,0
1608,0
1609,0
1610,1
1611,2
1612,0
1613,0
1614,0
1615,0
1616,2
1617,0
1618,0
1619,2
1620,2
1621,0
1622,0
1623,3
1624,2
1625,1
1626,0
1627,0
1628,0
1629,4
1630,2
1631,1
1632,1
1633,0
1634,1
1635,1
1636,2
1637,5
1638,2
1639,2
1640,2
1641,2
1642,0
1643,0
1644,2
1645,3
1646,1
1647,4
1648,3
1649,0
1650,0
1651,1
1652,5
1653,1
1654,1
1655,0
1656,0
1657,0
1658,2
1659,0
1660,0
1661,1
1662,5
1663,1
1664,0
1665,1
1666,0
1667,2
1668,1
1669,0
1670,1
1671,1
1672,0
1673,0
1674,0
1675,0
1676,4
1677,0
1678,2
1679,0
1680,0
1681,2
1682,1
1683,1
1684,2
1685,0
1686,1
1687,3
1688,0
1689,1
1690,1
1691,1
1692,2
1693,2
1694,1
1695,1
1696,0
1697,1
1698,1
1699,0
1700,1
1701,1
1702,0
1703,2
1704,0
1705,1
1706,1
1707,0
1708,1
1709,2
1710,3
1711,1
1712,1
1713,0
1714,1
1715,2
1716,1
1717,3
1718,0
1719,3
1720,1
1721,0
1722,3
1723,2
1724,0
1725,2
1726,0
1727,0
1728,1
1729,2
1730,1
1731,3
1732,3
1733,0
1734,0
1735,0
1736,0
1737,2
1738,2
1739,3
1740,1
1741,0
1742,0
1743,2
1744,1
1745,2
1746,0
1747,2
1748,1
1749,5
1750,0
1751,1
1752,0
1753,1
1754,2
1755,0
1756,0
1757,2
1758,1
1759,1
1760,0
1761,2
1762,0
1763,1
1764,2
1765,0
1766,1
1767,0
1768,2
1769,0
1770,0
1771,1
1772,1
1773,2
1774,2
1775,3
1776,0
1777,0
1778,3
1779,0
1780,0
1781,0
1782,2
1783,1
1784,1
1785,0
1786,3
1787,2
1788,0
1789,1
1790,3
1791,1
1792,0
1793,2
1794,0
1795,3
1796,0
1797,3
1798,0
1799,3
1800,3
1801,0
1802,0
1803,1
1804,2
1805,2
1806,0
1807,1
1808,1
1809,2
1810,1
1811,0
1812,0
1813,0
1814,0
1815,1
1816,4
1817,2
1818,1
1819,4
1820,1
1821,2
1822,1
1823,1
1824,0
1825,0
1826,2
1827,0
1828,0
1829,3
1830,1
1831,0
1832,2
1833,3
1834,1
1835,1
1836,0
1837,4
1838,2
1839,1
1840,3
1841,0
1842,1
1843,0
1844,1
1845,0
1846,1
1847,1
1848,0
1849,1
1850,1
1851,1
1852,6
1853,3
1854,3
1855,2
1856,1
1857,1
1858,0
1859,0
1860,3
1861,0
1862,0
1863,0
1864,1
1865,2
1866,0
1867,1
1868,2
1869,1
1870,0
1871,3
1872,0
1873,0
1874,0
1875,1
1876,0
1877,0
1878,0
1879,1
1880,6
1881,2
1882,0
1883,3
1884,2
1885,1
1886,0
1887,1
1888,1
1889,1
1890,2
1891,1
1892,1
1893,3
1894,3
1895,4
1896,1
1897,2
1898,2
1899,0
1900,2
1901,0
1902,2
1903,0
1904,2
1905,0
1906,3
1907,0
1908,1
1909,2
1910,2
1911,4
1912,0
1913,0
1914,0
1915,1
1916,1
1917,0
1918,1
1919,2
1920,2
1921,1
1922,1
1923,0
1924,0
1925,0
1926,1
1927,0
1928,0
1929,3
1930,1
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,1
1938,0
1939,2
1940,2
1941,0
1942,0
1943,0
1944,3
1945,1
1946,1
1947,2
1948,0
1949,2
1950,1
1951,0
1952,0
1953,4
1954,2
1955,1
1956,0
1957,1
1958,0
1959,2
1960,4
1961,2
1962,3
1963,2
1964,2
1965,0
1966,2
1967,0
1968,3
1969,0
1970,3
1971,3
1972,0
1973,2
1974,0
1975,2
1976,2
1977,2
1978,0
1979,0
1980,1
1981,2
1982,1
1983,0
1984,0
1985,0
1986,1
1987,0
1988,3
1989,2
1990,0
1991,0
1992,1
1993,0
1994,2
1995,1
1996,0
1997,0
1998,1
1999,0
2000,2
2001,2
2002,0
2003,2
2004,0
2005,1
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,1
2013,1
2014,0
2015,2
2016,3
2017,2
2018,1
2019,1
2020,2
2021,1
2022,0
2023,2
2024,2
2025,0
2026,0
2027,2
2028,0
2029,1
2030,1
2031,0
2032,1
2033,0
2034,1
2035,1
2036,0
2037,1
2038,0
2039,0
2040,0
2041,0
2042,1
2043,2
2044,0
2045,0
2046,0
2047,1
2048,0
2049,1
2050,0
2051,1
2052,0
2053,0
2054,2
2055,0
2056,3
2057,1
2058,1
2059,0
2060,2
2061,0
2062,0
2063,1
2064,0
2065,0
2066,1
2067,1
2068,3
2069,0
2070,0
2071,0
2072,1
2073,0
2074,0
2075,0
2076,1
2077,0
2078,0
2079,1
2080,0
2081,1
2082,0
2083,1
2084,0
2085,1
2086,0
2087,0
2088,0
2089,0
2090,1
2091,1
2092,1
2093,0
2094,0
2095,1
2096,2
2097,1
2098,1
2099,0
2100,0
2101,4
2102,0
2103,0
2104,1
2105,1
2106,0
2107,2
2108,1
2109,0
2110,0
2111,0
2112,2
2113,1
2114,2
2115,0
2116,0
2117,0
2118,0
2119,1
2120,0
2121,1
2122,2
2123,1
2124,0
2125,2
2126,1
2127,2
2128,1
2129,0
2130,0
2131,2
2132,1
2133,0
2134,0
2135,2
2136,0
2137,0
2138,0
2139,0
2140,1
2141,1
2142,0
2143,0
2144,0
2145,1
2146,1
2147,2
2148,0
2149,0
2150,0
2151,0
2152,1
2153,0
2154,1
2155,0
2156,0
2157,1
2158,1
2159,1
2160,0
2161,0
2162,1
2163,0
2164,2
2165,1
2166,1
2167,0
2168,0
2169,1
2170,0
2171,0
2172,0
2173,0
2174,1
2175,0
2176,0
2177,0
2178,0
2179,1
2180,0
2181,0
2182,0
2183,0
2184,2
2185,0
2186,0
2187,1
2188,3
2189,1
2190,0
2191,1
2192,0
2193,1
2194,0
2195,1
2196,1
2197,0
2198,0
2199,0
2200,1
2201,2
2202,0
2203,0
2204,0
2205,2
2206,0
2207,0
2208,1
2209,2
2210,0
2211,0
2212,1
2213,1
2214,0
2215,0
2216,1
2217,0
2218,0
2219,1
2220,0
2221,0
2222,0
2223,1
2224,0
2225,1
2226,0
2227,1
2228,0
2229,2
2230,1
2231,2
2232,1
2233,0
2234,0
2235,1
2236,1
2237,1
2238,0
2239,1
2240,4
2241,0
2242,4
2243,1
2244,1
2245,1
2246,1
2247,1
2248,1
2249,0
2250,1
2251,0
2252,1
2253,2
2254,0
2255,0
2256,1
2257,0
2258,1
2259,3
2260,0
2261,1
2262,0
2263,2
2264,1
2265,1
2266,0
2267,0
2268,0
2269,0
2270,0
2271,1
2272,2
2273,0
2274,0
2275,0
2276,1
2277,2
2278,1
2279,1
2280,0
2281,0
2282,0
2283,2
2284,0
2285,0
2286,1
2287,0
2288,4
2289,0
2290,1
2291,1
2292,1
2293,0
2294,0
2295,0
2296,0
2297,1
2298,1
2299,0
2300,1
2301,1
2302,0
2303,1
2304,2
2305,0
2306,0
2307,1
2308,0
2309,0
2310,1
2311,2
2312,0
2313,0
2314,0
2315,1
2316,2
2317,0
2318,2
2319,1
2320,1
2321,1
2322,0
2323,1
2324,0
2325,0
2326,1
2327,1
2328,1
2329,1
2330,1
2331,0
2332,0
2333,1
2334,0
2335,0
2336,1
2337,0
2338,1
2339,0
2340,2
2341,0
2342,0
2343,0
2344,0
2345,2
2346,3
2347,0
2348,2
2349,0
2350,0
2351,0
2352,0
2353,0
2354,0
2355,1
2356,0
2357,2
2358,0
2359,0
2360,1
2361,0
2362,0
2363,0
2364,0
2365,1
2366,5
2367,1
2368,0
2369,2
2370,1
2371,0
2372,1
2373,0
2374,1
2375,0
2376,3
2377,2
2378,0
2379,0
2380,0
2381,0
2382,0
2383,1
2384,0
2385,1
2386,0
2387,1
2388,2
2389,0
2390,1
2391,1
2392,0
2393,0
2394,1
2395,0
2396,0
2397,2
2398,0
2399,0
2400,0
2401,0
2402,0
2403,1
2404,0
2405,2
2406,1
2407,0
2408,0
2409,0
2410,0
2411,1
2412,0
2413,0
2414,0
2415,1
2416,1
2417,0
2418,0
2419,3
2420,0
2421,0
2422,1
2423,0
2424,0
2425,0
2426,0
2427,0
2428,1
2429,2
2430,1
2431,0
2432,0
2433,0
2434,1
2435,0
2436,0
2437,0
2438,1
2439,2
2440,1
2441,2
2442,1
2443,2
2444,0
2445,1
2446,1
2447,1
2448,0
2449,2
2450,0
2451,1
2452,0
2453,0
2454,1
2455,1
2456,2
2457,0
2458,1
2459,1
2460,0
2461,0
2462,0
2463,3
2464,2
2465,0
2466,1
2467,0
2468,0
2469,1
2470,1
2471,1
2472,1
2473,1
2474,1
2475,0
2476,0
2477,0
2478,0
2479,2
2480,0
2481,3
2482,1
2483,0
2484,0
2485,1
2486,0
2487,0
2488,0
2489,1
2490,2
2491,2
2492,0
2493,1
2494,1
2495,0
2496,1
2497,2
2498,0
2499,2
2500,1
2501,1
2502,2
2503,1
2504,0
2505,0
2506,0
2507,3
2508,2
2509,1
2510,1
2511,2
2512,0
2513,0
2514,0
2515,2
2516,0
2517,0
2518,1
2519,0
2520,1
2521,2
2522,1
2523,0
2524,1
2525,0
2526,0
2527,1
2528,0
2529,0
2530,0
2531,0
2532,0
2533,1
2534,1
2535,0
2536,1
2537,0
2538,1
2539,0
2540,2
2541,1
2542,0
2543,0
2544,0
2545,0
2546,2
2547,0
2548,0
2549,0
2550,0
2551,1
2552,0
2553,1
2554,0
2555,0
2556,1
2557,2
2558,0
2559,0
2560,0
2561,1
2562,0
2563,1
2564,1
2565,0
2566,1
2567,0
2568,2
2569,0
2570,1
2571,0
2572,0
2573,1
2574,0
2575,1
2576,3
2577,1
2578,0
2579,0
2580,2
2581,1
2582,2
2583,2
2584,0
2585,0
2586,0
2587,0
2588,0
2589,5
2590,0
2591,1
2592,0
2593,0
2594,0
2595,0
2596,1
2597,1
2598,0
2599,4
2600,0
2601,1
2602,0
2603,0
2604,2
2605,3
2606,0
2607,0
2608,0
2609,0
2610,1
2611,0
2612,1
2613,1
2614,0
2615,0
2616,2
2617,1
2618,0
2619,1
2620,1
2621,0
2622,0
2623,0
2624,0
2625,1
2626,0
2627,0
2628,2
2629,0
2630,1
2631,0
2632,1
2633,0
2634,0
2635,0
2636,1
2637,2
2638,0
2639,0
2640,1
2641,0
2642,0
2643,2
2644,0
2645,1
2646,0
2647,2
2648,0
2649,1
2650,0
2651,0
2652,0
2653,0
2654,0
2655,1
2656,1
2657,0
2658,1
2659,3
2660,1
2661,0
2662,1
2663,0
2664,1
2665,2
2666,1
2667,0
2668,0
2669,1
2670,0
2671,2
2672,0
2673,1
2674,0
2675,3
2676,0
2677,2
2678,0
2679,1
2680,0
2681,0
2682,3
2683,1
2684,2
2685,1
2686,0
2687,3
2688,1
2689,0
2690,0
2691,2
2692,0
2693,0
2694,0
2695,0
2696,1
2697,2
2698,0
2699,0
2700,0
2701,1
2702,0
2703,0
2704,0
2705,0
2706,0
2707,1
2708,0
2709,1
2710,2
2711,1
2712,0
2713,0
2714,0
2715,0
2716,1
2717,1
2718,0
2719,0
2720,2
2721,1
2722,1
2723,0
2724,0
2725,0
2726,0
2727,1
2728,1
2729,2
2730,0
2731,1
2732,0
2733,0
2734,0
2735,1
2736,0
2737,0
2738,0
2739,1
2740,0
2741,0
2742,1
2743,1
2744,0
2745,0
2746,0
2747,1
2748,3
2749,1
2750,0
2751,2
2752,1
2753,3
2754,0
2755,1
2756,3
2757,1
2758,1
2759,0
2760,1
2761,2
2762,1
2763,1
2764,1
2765,0
2766,0
2767,0
2768,1
2769,1
2770,0
2771,0
2772,0
2773,0
2774,0
2775,2
2776,1
2777,0
2778,0
2779,2
2780,2
2781,0
2782,1
2783,0
2784,1
2785,0
2786,0
2787,2
2788,1
2789,1
2790,1
2791,2
2792,1
2793,0
2794,0
2795,0
2796,2
2797,0
2798,1
2799,2
2800,0
2801,0
2802,0
2803,0
2804,1
2805,1
2806,1
2807,0
2808,0
2809,0
2810,2
2811,0
2812,5
2813,0
2814,1
2815,2
2816,0
2817,3
2818,2
2819,1
2820,2
2821,0
2822,1
2823,0
2824,1
2825,1
2826,1
2827,0
2828,0
2829,4
2830,2
2831,1
2832,1
2833,0
2834,1
2835,0
2836,3
2837,0
2838,0
2839,0
2840,1
2841,0
2842,1
2843,2
2844,2
2845,3
2846,0
2847,0
2848,0
2849,1
2850,1
2851,1
2852,0
2853,0
2854,1
2855,2
2856,1
2857,0
2858,1
2859,1
2860,0
2861,1
2862,0
2863,1
2864,0
2865,1
2866,0
2867,0
2868,2
2869,0
2870,0
2871,1
2872,1
2873,3
2874,3
2875,1
2876,1
2877,0
2878,0
2879,1
2880,0
2881,1
2882,2
2883,0
2884,1
2885,0
2886,1
2887,0
2888,0
2889,1
2890,2
2891,1
2892,1
2893,0
2894,0
2895,1
2896,3
2897,0
2898,0
2899,2
2900,1
2901,1
2902,1
2903,0
2904,1
2905,1
2906,1
2907,3
2908,1
2909,0
2910,0
2911,0
2912,0
2913,0
2914,1
2915,0
2916,1
2917,2
2918,0
2919,0
2920,1
2921,1
2922,0
2923,0
2924,0
2925,0
2926,1
2927,1
2928,0
2929,0
2930,1
2931,1
2932,1
2933,0
2934,1
2935,0
2936,0
2937,0
2938,0
2939,1
2940,0
2941,2
2942,0
2943,0
2944,0
2945,0
2946,3
2947,0
2948,0
2949,0
2950,0
2951,1
2952,1
2953,0
2954,1
2955,1
2956,1
2957,1
2958,0
2959,0
2960,0
2961,0
2962,0
2963,0
2964,3
2965,2
2966,0
2967,2
2968,1
2969,2
2970,2
2971,0
2972,1
2973,1
2974,0
2975,1
2976,0
2977,0
2978,0
2979,0
2980,2
2981,1
2982,0
2983,0
2984,0
2985,0
2986,0
2987,1
2988,2
2989,0
2990,0
2991,0
2992,1
2993,2
2994,0
2995,0
2996,2
2997,1
